Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
安提瓜和巴布达,ATG,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,74.18334961,73.36898041,,,,,,,,,,,,,,,,84.28804779,,,,,,,,,,,,,,,,109.1275177,104.2640991,118.1952667,113.56707,,114.9410019,109.3558273,99.05512238,99.1989975,106.4620438,107.7294693,107.7289963,,,,
澳大利亚,AUS,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奥地利,AUT,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,95.04364014,97.14814758,96.50691986,,,,,,,,,,,,,,,,,,,,,,,,,99.8747406,98.92333221,,,99.50287628,,100.3068924,,,,,,,100.4425201,96.7753067,98.53124237,98.0967865,98.62798309,96.56767273,98.88742065,98.20957184,98.97820282,97.44068909,100.079628,96.62406921,
阿塞拜疆,AZE,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.49742889,93.98149872,100.9912262,90.24809265,94.85749817,89.6128006,90.931427,98.49185181,89.71559906,91.42843628,88.97885132,92.18356323,91.59458923,86.54667664,97.61051941,101.6183319,109.7202072,107.6183777,100.6412125,100.3731613,99.16851807,96.52568054,99.01213074,
布隆迪,BDI,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,3.009730101,,6.77049017,7.509729862,8.054730415,7.862639904,7.791269779,7.775839806,8.012889862,8.053830147,8.02793026,9.538189888,12.86713028,17.34873962,17.56023979,19.60552025,19.09342003,27.21541023,24.90823936,31.7035408,39.77455902,39.45352936,42.93793869,,,,,,,22.96640015,23.2510891,23.41058922,26.45689964,27.11024094,31.36281013,,45.22140884,39.93029022,47.93864059,53.58657837,59.70814133,66.2401123,74.8393631,73.88234711,66.90740967,69.17881775,68.0269928,61.61993027,57.89453125,53.00183868,53.38700104,51.69900131,
比利时,BEL,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,70.61830902,70.50952911,70.17047119,74.04717255,75.35253143,70.98531342,71.98873138,76.77108765,79.49304962,72.6877594,77.30417633,77.43083954,77.69986725,77.9318924,77.59391785,,,80.02400208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贝宁,BEN,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,9.542510033,11.29456043,11.47404957,10.64993954,12.29977989,13.43589973,12.74831963,14.67041969,16.18478012,18.66443062,17.36655045,20.29257965,19.14942932,17.31772995,19.28130913,17.66555023,17.03741074,16.13825035,16.13484001,11.15036011,13.20777988,12.96840954,14.13850021,15.47692966,18.66999054,19.47528076,21.18170929,23.0585804,,25.08330917,28.21789932,29.77749062,34.18796158,39.50815964,,,,52.20484161,,57.21662903,62.92002106,64.46685028,70.16954041,71.69754028,73.32675934,73.06273651,,,58.67406845,57.39344025,67.27951813,61.85314178,
布基纳法索,BFA,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,4.859660149,4.655029774,4.935150146,5.009759903,5.542200089,5.443180084,6.29542017,6.275559902,6.794400215,6.705840111,7.301189899,7.501989841,8.145759583,9.411239624,10.03063965,,11.3882103,12.1655302,11.91926003,13.88665009,14.66030025,20.84297943,18.62601089,19.62026978,14.71557999,17.3873806,,,17.93648911,19.56035995,20.4312191,21.66958046,23.59392929,24.99445915,26.45746994,28.02854919,29.77816963,33.24071121,39.18260956,43.19589996,49.93799973,54.7807312,61.26153946,61.53113174,61.89213181,62.28485107,64.1177063,65.44954681,65.14511108,66.19225311,68.6767807,63.75920868,
孟加拉国,BGD,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,28.27313995,,,,,20.88925934,,,,,,,,,,,,,,,,,,,,,,,,68.14070129,,,59.9092598,65.91586304,68.51200104,,,,,,,,,,,122.0240021,114.6620026,
保加利亚,BGR,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,98.389328,100.7602463,103.8477478,105.421051,101.6746979,95.0087204,90.78166199,86.90132904,87.14154816,85.68118286,89.48734283,91.57620239,92.98828888,93.84390259,95.5269928,100.3040466,101.5277023,101.9439621,102.7944336,104.7441635,107.5432968,103.9915466,103.244133,100.9161911,99.53479767,99.28729248,99.03523254,98.46829224,98.47125244,96.45526886,95.90154266,94.97779083,94.21318817,91.47319031,90.93096924,88.54033661,,
